frame,perception,decision,cover,squad,sim_step,serialisation,frame_ms
1,0.2885,0.6460,0.1159,0.0476,0.2409,0.0968,6.9694
2,0.3191,0.6933,0.1245,0.0530,0.2878,0.0750,7.0092
3,0.3228,0.6449,0.0896,0.0369,0.2426,0.0930,6.7214
4,0.2979,0.6469,0.1084,0.0523,0.2966,0.0901,7.2075
5,0.3250,0.7077,0.1088,0.0445,0.2656,0.0984,6.9396
6,0.3112,0.5597,0.1028,0.0461,0.3313,0.0879,6.7124
7,0.3192,0.4659,0.1209,0.0598,0.1954,0.0952,6.4245
8,0.2632,0.6448,0.1189,0.0390,0.3148,0.1100,6.9744
9,0.3648,0.6326,0.1221,0.0403,0.3058,0.0908,6.6207
10,0.2431,0.5129,0.1104,0.0597,0.1947,0.0781,6.4707
11,0.3650,0.6521,0.0858,0.0311,0.2950,0.0890,6.3820
12,0.3440,0.6992,0.1228,0.0518,0.2982,0.1239,7.0257
13,0.3233,0.6493,0.0918,0.0596,0.3201,0.1079,6.1599
14,0.2715,0.6758,0.0874,0.0486,0.3228,0.0803,7.1695
15,0.3248,0.5865,0.1258,0.0549,0.2851,0.1172,6.4958
16,0.2813,0.6938,0.1205,0.0434,0.3198,0.1220,6.6473
17,0.2379,0.5879,0.1173,0.0478,0.3390,0.0846,6.9926
18,0.2429,0.5292,0.1314,0.0585,0.3161,0.1052,6.6259
19,0.3069,0.6518,0.1168,0.0521,0.3041,0.1000,6.9608
20,0.3255,0.7810,0.1258,0.0468,0.2644,0.0998,7.1204
21,0.2849,0.6347,0.1531,0.0308,0.2328,0.1037,6.7594
22,0.3107,0.5612,0.1318,0.0521,0.2581,0.1365,6.7569
23,0.2751,0.5910,0.1159,0.0495,0.1654,0.0927,6.7923
24,0.2474,0.5940,0.1372,0.0564,0.3426,0.0745,6.5461
25,0.2847,0.6561,0.1397,0.0299,0.3257,0.0783,6.9192
26,0.2329,0.6158,0.1415,0.0489,0.2880,0.1120,6.6815
27,0.2960,0.7380,0.1389,0.0478,0.3953,0.0828,7.1732
28,0.2880,0.6119,0.1327,0.0517,0.3068,0.0771,6.2154
29,0.3277,0.5133,0.1015,0.0390,0.3332,0.1112,7.0678
30,0.2578,0.6001,0.0995,0.0557,0.3468,0.0866,7.1146
31,0.3445,0.5840,0.0845,0.0605,0.2760,0.0910,6.7603
32,0.3184,0.7348,0.1016,0.0585,0.3425,0.1218,6.8235
33,0.2665,0.6917,0.1221,0.0509,0.3398,0.0960,6.0780
34,0.2826,0.4331,0.1347,0.0524,0.2543,0.0999,6.7068
35,0.3036,0.7194,0.1189,0.0578,0.3426,0.1241,6.6649
36,0.3396,0.4312,0.1005,0.0353,0.3249,0.0815,6.5091
37,0.2914,0.5974,0.1094,0.0518,0.3552,0.1007,6.8651
38,0.3450,0.5822,0.0973,0.0458,0.3251,0.0753,6.4914
39,0.3453,0.6713,0.1201,0.0560,0.2870,0.0823,6.2930
40,0.2712,0.6830,0.1098,0.0432,0.2476,0.0770,6.5968
41,0.2469,0.6328,0.0775,0.0525,0.2531,0.0709,6.7510
42,0.2876,0.3993,0.1042,0.0522,0.2607,0.1117,6.6400
43,0.3300,0.6294,0.1440,0.0549,0.2990,0.0687,6.9950
44,0.3589,0.5733,0.1115,0.0646,0.2062,0.1070,7.3486
45,0.2583,0.6621,0.1540,0.0491,0.3036,0.1135,6.4688
46,0.2960,0.6264,0.1349,0.0497,0.2718,0.0848,6.5558
47,0.3401,0.6092,0.1046,0.0437,0.3920,0.1171,6.9979
48,0.1833,0.6559,0.1287,0.0626,0.2980,0.0990,6.7842
49,0.2125,0.6930,0.1258,0.0447,0.3357,0.1271,6.3182
50,0.2700,0.6262,0.1233,0.0470,0.2391,0.1318,6.9486
51,0.2463,0.4789,0.1507,0.0574,0.3565,0.1122,6.3403
52,0.3117,0.4056,0.1065,0.0496,0.3020,0.0891,6.4272
53,0.3206,0.6339,0.1315,0.0516,0.2664,0.1118,6.7306
54,0.2628,0.5437,0.1200,0.0492,0.2866,0.1000,6.6150
55,0.2940,0.4867,0.1276,0.0579,0.2983,0.0972,6.6955
56,0.2565,0.4293,0.1211,0.0430,0.3111,0.0837,5.6562
57,0.2532,0.7420,0.1131,0.0397,0.2479,0.1078,6.8529
58,0.3080,0.7335,0.1327,0.0498,0.3051,0.1248,7.1453
59,0.3461,0.5025,0.1173,0.0555,0.2675,0.1160,6.7839
60,0.3409,0.5809,0.1658,0.0593,0.2710,0.1014,7.4978
61,0.2846,0.6787,0.1376,0.0500,0.2310,0.1028,6.7925
62,0.3508,0.6705,0.1204,0.0564,0.3027,0.1031,6.8205
63,0.2890,0.6618,0.1010,0.0453,0.2802,0.0780,6.5246
64,0.2096,0.5385,0.1302,0.0542,0.2777,0.0965,6.0818
65,0.3823,0.6464,0.1397,0.0434,0.2722,0.0727,6.9908
66,0.3421,0.4292,0.1191,0.0547,0.2060,0.0726,6.1042
67,0.2717,0.4737,0.1206,0.0519,0.3066,0.1105,6.9858
68,0.3524,0.4819,0.1109,0.0420,0.2348,0.0988,6.5225
69,0.3221,0.4572,0.0977,0.0498,0.2716,0.0953,6.4748
70,0.2658,0.6631,0.1264,0.0493,0.2518,0.0974,5.8373
71,0.2558,0.6034,0.0929,0.0515,0.2862,0.0793,6.4940
72,0.2859,0.6414,0.1310,0.0497,0.2442,0.0978,6.6305
73,0.3331,0.6265,0.1070,0.0398,0.2643,0.0889,6.3260
74,0.2948,0.5558,0.1219,0.0539,0.2627,0.1349,6.5275
75,0.3496,0.6109,0.1401,0.0322,0.2484,0.1037,6.8657
76,0.4051,0.6290,0.1430,0.0557,0.3198,0.1077,6.8136
77,0.3229,0.5030,0.1413,0.0424,0.2905,0.1318,6.5648
78,0.3009,0.7047,0.1205,0.0439,0.2908,0.1087,6.9826
79,0.2652,0.7577,0.1500,0.0501,0.2913,0.0936,7.2322
80,0.2683,0.6607,0.1114,0.0448,0.3102,0.1200,6.7123
81,0.2695,0.6730,0.1191,0.0523,0.3440,0.1170,6.6190
82,0.4028,0.6003,0.1341,0.0451,0.2781,0.0738,7.2702
83,0.3615,0.4906,0.0929,0.0378,0.3294,0.0931,6.5872
84,0.2859,0.5891,0.1004,0.0502,0.2196,0.0989,6.6368
85,0.3210,0.5791,0.1037,0.0512,0.2596,0.1235,6.8686
86,0.2948,0.5576,0.1074,0.0430,0.2652,0.1044,6.7270
87,0.3256,0.7889,0.1073,0.0501,0.3974,0.0720,6.7848
88,0.3076,0.6139,0.1273,0.0482,0.2954,0.1008,6.9247
89,0.2148,0.5203,0.1200,0.0423,0.2361,0.1094,6.2479
90,0.3286,0.6671,0.1255,0.0538,0.2756,0.0789,6.7205
91,0.3204,0.5524,0.1182,0.0556,0.2431,0.1096,7.1581
92,0.2750,0.6132,0.1173,0.0616,0.2933,0.1135,6.4668
93,0.2993,0.5991,0.0880,0.0608,0.3178,0.0738,6.8621
94,0.2941,0.6404,0.1266,0.0388,0.2711,0.1224,6.5208
95,0.2540,0.4776,0.0980,0.0525,0.3511,0.1064,6.6133
96,0.4005,0.5533,0.1079,0.0540,0.3030,0.0848,6.3524
97,0.3131,0.6223,0.0965,0.0485,0.2572,0.1069,6.6094
98,0.2961,0.5682,0.1390,0.0604,0.2646,0.1127,6.4137
99,0.3032,0.6675,0.1473,0.0471,0.2769,0.1029,6.2955
100,0.3007,0.5392,0.1267,0.0415,0.1970,0.1006,6.5838
101,0.2753,0.6800,0.1151,0.0455,0.3001,0.0765,6.4891
102,0.2991,0.6764,0.1171,0.0523,0.2525,0.1045,7.2009
103,0.2691,0.8130,0.1084,0.0501,0.2873,0.1154,6.4721
104,0.2055,0.6545,0.1343,0.0547,0.3905,0.1031,6.8187
105,0.3418,0.6332,0.1499,0.0407,0.2642,0.0483,6.9220
106,0.2832,0.6832,0.1588,0.0500,0.2693,0.0925,6.4856
107,0.2716,0.6575,0.1207,0.0505,0.2727,0.1137,6.8350
108,0.2936,0.6598,0.1173,0.0414,0.3411,0.1070,6.4730
109,0.3485,0.6310,0.0918,0.0621,0.2940,0.1134,6.8002
